ETH-USD,Ethereum USD,
Date,Price,Dividend,Annualized Dividend
08/07/2015,2.83161997795105,0.0,0.0
08/08/2015,2.793760061264038,0.0,0.0
08/09/2015,0.7061359882354736,0.0,0.0
08/10/2015,0.7139890193939209,0.0,0.0
08/11/2015,0.7080870270729065,0.0,0.0
08/12/2015,1.058750033378601,0.0,0.0
08/13/2015,1.2222399711608887,0.0,0.0
08/14/2015,1.810920000076294,0.0,0.0
08/15/2015,1.8028899431228638,0.0,0.0
08/16/2015,1.6843500137329102,0.0,0.0
08/17/2015,1.5811899900436401,0.0,0.0
08/18/2015,1.2152999639511108,0.0,0.0
08/19/2015,1.1669299602508545,0.0,0.0
08/20/2015,1.2511800527572632,0.0,0.0
08/21/2015,1.4775199890136719,0.0,0.0
08/22/2015,1.3962899446487427,0.0,0.0
08/23/2015,1.375,0.0,0.0
08/24/2015,1.3455899953842163,0.0,0.0
08/25/2015,1.2286100387573242,0.0,0.0
08/26/2015,1.132789969444275,0.0,0.0
08/27/2015,1.1698100566864014,0.0,0.0
08/28/2015,1.1476600170135498,0.0,0.0
08/29/2015,1.1935299634933472,0.0,0.0
08/30/2015,1.1829899549484253,0.0,0.0
08/31/2015,1.3213800191879272,0.0,0.0
09/01/2015,1.3534799814224243,0.0,0.0
09/02/2015,1.3515700101852417,0.0,0.0
09/03/2015,1.2951899766921997,0.0,0.0
09/04/2015,1.264930009841919,0.0,0.0
09/05/2015,1.28056001663208,0.0,0.0
09/06/2015,1.3380099534988403,0.0,0.0
09/07/2015,1.2958999872207642,0.0,0.0
09/08/2015,1.246649980545044,0.0,0.0
09/09/2015,1.2393499612808228,0.0,0.0
09/10/2015,1.207610011100769,0.0,0.0
09/11/2015,1.16497004032135,0.0,0.0
09/12/2015,0.9872279763221741,0.0,0.0
09/13/2015,1.0417799949645996,0.0,0.0
09/14/2015,0.9405660033226013,0.0,0.0
09/15/2015,0.8751890063285828,0.0,0.0
09/16/2015,0.9419770240783691,0.0,0.0
09/17/2015,0.9068650007247925,0.0,0.0
09/18/2015,0.8745740056037903,0.0,0.0
09/19/2015,0.849602997303009,0.0,0.0
09/20/2015,0.8811910152435303,0.0,0.0
09/21/2015,0.9414960145950317,0.0,0.0
09/22/2015,0.9193369746208191,0.0,0.0
09/23/2015,0.9035599827766418,0.0,0.0
09/24/2015,0.8967959880828857,0.0,0.0
09/25/2015,0.8200309872627258,0.0,0.0
09/26/2015,0.7376300096511841,0.0,0.0
09/27/2015,0.7912769913673401,0.0,0.0
09/28/2015,0.7237150073051453,0.0,0.0
09/29/2015,0.5794140100479126,0.0,0.0
09/30/2015,0.661191999912262,0.0,0.0
10/01/2015,0.7343069911003113,0.0,0.0
10/02/2015,0.6837319731712341,0.0,0.0
10/03/2015,0.6787829995155334,0.0,0.0
10/04/2015,0.6863430142402649,0.0,0.0
10/05/2015,0.6667839884757996,0.0,0.0
10/06/2015,0.6222180128097534,0.0,0.0
10/07/2015,0.6505150198936462,0.0,0.0
10/08/2015,0.6095010042190552,0.0,0.0
10/09/2015,0.6550840139389038,0.0,0.0
10/10/2015,0.6411870121955872,0.0,0.0
10/11/2015,0.6274610161781311,0.0,0.0
10/12/2015,0.6345149874687195,0.0,0.0
10/13/2015,0.6279429793357849,0.0,0.0
10/14/2015,0.6122400164604187,0.0,0.0
10/15/2015,0.523277997970581,0.0,0.0
10/16/2015,0.5625929832458496,0.0,0.0
10/17/2015,0.5341169834136963,0.0,0.0
10/18/2015,0.5479130148887634,0.0,0.0
10/19/2015,0.5176209807395935,0.0,0.0
10/20/2015,0.48962900042533875,0.0,0.0
10/21/2015,0.4315890073776245,0.0,0.0
10/22/2015,0.4449880123138428,0.0,0.0
10/23/2015,0.5663700103759766,0.0,0.0
10/24/2015,0.5396810173988342,0.0,0.0
10/25/2015,0.5632069706916809,0.0,0.0
10/26/2015,0.6197429895401001,0.0,0.0
10/27/2015,0.7088900208473206,0.0,0.0
10/28/2015,0.8709380030632019,0.0,0.0
10/29/2015,1.0052499771118164,0.0,0.0
10/30/2015,1.2092000246047974,0.0,0.0
10/31/2015,1.0465799570083618,0.0,0.0
11/01/2015,0.9208469986915588,0.0,0.0
11/02/2015,1.0579700469970703,0.0,0.0
11/03/2015,0.9945679903030396,0.0,0.0
11/04/2015,1.0106500387191772,0.0,0.0
11/05/2015,0.9006990194320679,0.0,0.0
11/06/2015,0.9047719836235046,0.0,0.0
11/07/2015,0.9237319827079773,0.0,0.0
11/08/2015,0.9156609773635864,0.0,0.0
11/09/2015,1.0325299501419067,0.0,0.0
11/10/2015,1.0012600421905518,0.0,0.0
11/11/2015,0.9412959814071655,0.0,0.0
11/12/2015,0.7964550256729126,0.0,0.0
11/13/2015,0.907721996307373,0.0,0.0
11/14/2015,0.9054690003395081,0.0,0.0
11/15/2015,0.8912169933319092,0.0,0.0
11/16/2015,0.9061660170555115,0.0,0.0
11/17/2015,0.92494797706604,0.0,0.0
11/18/2015,0.9932140111923218,0.0,0.0
11/19/2015,0.9887130260467529,0.0,0.0
11/20/2015,0.9557350277900696,0.0,0.0
11/21/2015,0.9287580251693726,0.0,0.0
11/22/2015,0.979764997959137,0.0,0.0
11/23/2015,0.9674929976463318,0.0,0.0
11/24/2015,0.9464420080184937,0.0,0.0
11/25/2015,0.8938270211219788,0.0,0.0
11/26/2015,0.863273024559021,0.0,0.0
11/27/2015,0.882099986076355,0.0,0.0
